consultante_provincia,ym,total,positivos,tasa
tucumn,2023-05-01,1,0,0.0
tucumn,2023-06-01,1,1,1.0
tucumn,2023-07-01,4,1,0.25
tucumn,2023-08-01,4,3,0.75
tucumn,2023-09-01,1,0,0.0
tucumn,2023-10-01,4,4,1.0
tucumn,2023-11-01,6,2,0.3333333333333333
tucumn,2023-12-01,2,1,0.5
tucumn,2024-01-01,1,0,0.0
tucumn,2024-02-01,4,4,1.0
tucumn,2024-03-01,3,3,1.0
tucumn,2024-04-01,6,2,0.3333333333333333
tucumn,2024-05-01,2,0,0.0
tucumn,2024-06-01,2,1,0.5
tucumn,2024-07-01,2,1,0.5
tucumn,2024-08-01,4,1,0.25
tucumn,2024-09-01,2,0,0.0
tucumn,2024-10-01,2,0,0.0
tucumn,2024-11-01,3,1,0.3333333333333333
tucumn,2024-12-01,1,0,0.0
