feature,coef,coef_abs,signo
cat__localidad_Wilde,0.12799923774740643,0.12799923774740643,+
num__mes,0.12734207787541682,0.12734207787541682,+
cat__consultante_localidad_lans oeste,-0.12716010215113518,0.12716010215113518,-
cat__consultante_como_conocio_la_linea_sin datos,0.12663123835006856,0.12663123835006856,+
cat__consultante_localidad_glvez,-0.1251215564510179,0.1251215564510179,-
cat__localidad_Neuquen,0.12496068227896628,0.12496068227896628,+
cat__consultante_localidad_altos de san lorenzo,-0.12474950170758346,0.12474950170758346,-
cat__localidad_Altos de San Lorenzo,-0.12474950170758346,0.12474950170758346,-
cat__localidad_La Paz,0.12465398996319015,0.12465398996319015,+
cat__localidad_San Juan,-0.12464440162993001,0.12464440162993001,-
cat__consultante_localidad_jujuy,0.12460856763995629,0.12460856763995629,+
cat__localidad_Rosario de la Frontera,0.12409207224740694,0.12409207224740694,+
cat__consultante_localidad_baradero,-0.12390717035479736,0.12390717035479736,-
cat__localidad_NS/NC,-0.12355819285681023,0.12355819285681023,-
cat__consultante_como_conocio_la_linea_Línea 145,0.12303116752342248,0.12303116752342248,+
cat__consultante_localidad_santa rosa,0.12195760091393858,0.12195760091393858,+
cat__localidad_Ciudad Perico,-0.12180797937868132,0.12180797937868132,-
cat__localidad_Capilla del Monte,0.12084756133843877,0.12084756133843877,+
cat__localidad_Necochea,0.11995488490061071,0.11995488490061071,+
cat__localidad_Jachal,-0.1193464777423045,0.1193464777423045,-
cat__localidad_Eduardo Castex,-0.1192912640282021,0.1192912640282021,-
cat__localidad_San Fernando del Valle de Catamarca,-0.11909386880759334,0.11909386880759334,-
cat__localidad_San Vicente,0.1184482744866708,0.1184482744866708,+
cat__localidad_Loma Hermosa,-0.11838870584470602,0.11838870584470602,-
cat__consultante_localidad_den funes,-0.11740027071682363,0.11740027071682363,-
cat__consultante_localidad_cauelas,-0.11703224104790316,0.11703224104790316,-
cat__localidad_Rio Negro,-0.11606182867133596,0.11606182867133596,-
cat__localidad_Ingenio La Esperanza,-0.11601538313697446,0.11601538313697446,-
cat__localidad_Los Polvorines,0.11527426566387007,0.11527426566387007,+
cat__consultante_localidad_virrey del pino,0.11522661607302664,0.11522661607302664,+
cat__via_ingreso_por seguimiento,0.11512298166758762,0.11512298166758762,+
cat__localidad_Puerto Esperanza,0.11489190164978165,0.11489190164978165,+
cat__localidad_Vicuña Mackenna,0.11484085275772854,0.11484085275772854,+
cat__localidad_Rio Gallegos,0.11470448580014939,0.11470448580014939,+
cat__localidad_José León Suárez,0.11470033990073751,0.11470033990073751,+
cat__localidad_Coronel Suárez,0.11437578570576096,0.11437578570576096,+
cat__localidad_Puerto General San Martín,0.1142747186153081,0.1142747186153081,+
cat__localidad_Villa de Mayo,0.11348101710685068,0.11348101710685068,+
cat__consultante_genero_transgenero,-0.1132591122015883,0.1132591122015883,-
cat__localidad_Tinogasta,0.11304295489803426,0.11304295489803426,+
cat__consultante_tipo_consultante - victima directa,-0.11301765945701989,0.11301765945701989,-
cat__localidad_San Salvador de Jujuy,0.11299044742078942,0.11299044742078942,+
cat__consultante_como_conocio_la_linea_Folletos,0.11274630867683506,0.11274630867683506,+
cat__consultante_genero_mujer trans - travesti,-0.11237938993349764,0.11237938993349764,-
cat__localidad_Villa Luzuriaga,0.11205434612210202,0.11205434612210202,+
cat__consultante_nacionalidad_peru,0.11187227122081092,0.11187227122081092,+
cat__consultante_localidad_misiones,-0.11169806728467228,0.11169806728467228,-
cat__localidad_MIsiones,-0.11169806728467228,0.11169806728467228,-
cat__localidad_Puerto General San Martin,-0.1113767043027614,0.1113767043027614,-
cat__localidad_Florencio Varela,-0.11119262673620711,0.11119262673620711,-
cat__localidad_Misiones,0.11117241002937704,0.11117241002937704,+
cat__consultante_provincia_salta,0.11068106096418744,0.11068106096418744,+
cat__localidad_Monte Grande,0.1104772697245529,0.1104772697245529,+
cat__localidad_Pico Truncado,-0.11011066447431857,0.11011066447431857,-
cat__consultante_localidad_pico truncado,-0.11011066447431857,0.11011066447431857,-
cat__origen_institucion - ministerio de trabajo de la nacion,-0.10935167385695677,0.10935167385695677,-
cat__localidad_tres de febrero,-0.10784576066856476,0.10784576066856476,-
cat__consultante_localidad_juan bautista alberdi,-0.107410615149191,0.107410615149191,-
cat__localidad_Juan Bautista Alberdi,-0.107410615149191,0.107410615149191,-
cat__localidad_Los Troncos del Talar,-0.10705613691168783,0.10705613691168783,-
cat__consultante_localidad_los troncos del talar,-0.10705613691168783,0.10705613691168783,-
cat__localidad_Gobernador Virasoro,-0.10698943529680505,0.10698943529680505,-
cat__localidad_Resistencia,-0.10685273825718673,0.10685273825718673,-
cat__consultante_localidad_comodoro rivadavia,-0.1067051500108981,0.1067051500108981,-
cat__dependencia_alta_Línea 145,-0.10660398506006366,0.10660398506006366,-
cat__localidad_Villa Fiorito,-0.10658924099579482,0.10658924099579482,-
cat__consultante_localidad_campana,0.10611296329749109,0.10611296329749109,+
cat__origen_institucion - 145,0.10579034473114493,0.10579034473114493,+
cat__consultante_localidad_rauch,-0.10476915967611984,0.10476915967611984,-
cat__localidad_Rauch,-0.10476915967611984,0.10476915967611984,-
cat__localidad_San Nicolás,0.1045965838244268,0.1045965838244268,+
cat__localidad_Eldorado,-0.10431908518995524,0.10431908518995524,-
cat__consultante_localidad_eldorado,-0.10431908518995524,0.10431908518995524,-
cat__localidad_San Cristóbal,0.10394827033997035,0.10394827033997035,+
cat__localidad_Mariano Acosta,-0.10369955144583368,0.10369955144583368,-
cat__consultante_localidad_pontevedra,-0.10294475676432271,0.10294475676432271,-
cat__consultante_genero_travesti,0.1027142054779593,0.1027142054779593,+
cat__localidad_Apóstoles,0.10268936925762474,0.10268936925762474,+
cat__consultante_localidad_apstoles,0.10268936925762474,0.10268936925762474,+
cat__localidad_Oliva,-0.1025878869194715,0.1025878869194715,-
cat__consultante_localidad_pampa blanca,-0.10247002812984368,0.10247002812984368,-
cat__localidad_Ricardone,-0.10241452123596699,0.10241452123596699,-
cat__localidad_Río Muerto,-0.1018510373390844,0.1018510373390844,-
cat__consultante_localidad_sierra de los padres,0.10169864742452657,0.10169864742452657,+
cat__localidad_Esquina,0.10149970888957469,0.10149970888957469,+
cat__localidad_Belén de Escobar,0.10122461858239376,0.10122461858239376,+
cat__consultante_localidad_beln de escobar,0.10122461858239376,0.10122461858239376,+
cat__consultante_como_conocio_la_linea_no refiere,-0.10094571549848946,0.10094571549848946,-
cat__consultante_localidad_henderson,0.10083679453865249,0.10083679453865249,+
cat__localidad_Henderson,0.10083679453865249,0.10083679453865249,+
cat__consultante_localidad_chascoms,-0.10069993659364383,0.10069993659364383,-
cat__localidad_MENDOZA,0.10061310037775789,0.10061310037775789,+
cat__localidad_Libertador General San Martín,0.10041033613540964,0.10041033613540964,+
cat__consultante_localidad_gualeguaych,0.10040895704682803,0.10040895704682803,+
cat__consultante_localidad_las heras,-0.10011161831500237,0.10011161831500237,-
cat__consultante_localidad_tucumn,-0.09937069640773925,0.09937069640773925,-
cat__consultante_localidad_ayacucho,0.09910126627794456,0.09910126627794456,+
cat__consultante_localidad_cipolletti,-0.09819821343964032,0.09819821343964032,-
cat__localidad_Oberá,-0.09789561922143152,0.09789561922143152,-
cat__localidad_Pehuajó,-0.09768709098824611,0.09768709098824611,-
cat__localidad_Malvinas argentinas,-0.0970815849159397,0.0970815849159397,-
cat__consultante_localidad_tandil,0.09629051310207196,0.09629051310207196,+
cat__localidad_Once,-0.09619602139854817,0.09619602139854817,-
cat__localidad_Anderson,-0.09606917394190422,0.09606917394190422,-
cat__consultante_localidad_burzaco,0.0958764191433593,0.0958764191433593,+
cat__localidad_General Gelly,-0.09511515367119357,0.09511515367119357,-
cat__via_ingreso_celular,0.09388832753657514,0.09388832753657514,+
cat__localidad_La Cumbre,-0.09369633474508203,0.09369633474508203,-
cat__consultante_provincia_entre ros,0.09362630724852296,0.09362630724852296,+
cat__localidad_Gregorio de Laferrere,0.09298516951347015,0.09298516951347015,+
cat__localidad_La Tablada,-0.09273003704292539,0.09273003704292539,-
cat__localidad_Becar,-0.09267603401079731,0.09267603401079731,-
cat__consultante_localidad_glew,0.09259048034779009,0.09259048034779009,+
cat__localidad_Glew,0.09259048034779009,0.09259048034779009,+
cat__consultante_localidad_tigre,-0.09250992209664397,0.09250992209664397,-
cat__localidad_Pablo Nogués,0.09212430062873099,0.09212430062873099,+
cat__consultante_localidad_pablo nogus,0.09212430062873099,0.09212430062873099,+
cat__consultante_nacionalidad_,0.0919493922579075,0.0919493922579075,+
cat__consultante_localidad_almirante brown,-0.09135787360953346,0.09135787360953346,-
cat__localidad_Mar de las Pampas,-0.09091899567142435,0.09091899567142435,-
num__provincia_indec_id,-0.09072664403696083,0.09072664403696083,-
cat__localidad_Hurlingham,0.09069776113716078,0.09069776113716078,+
cat__localidad_Trujui,0.090506437211446,0.090506437211446,+
cat__consultante_localidad_trujui,0.090506437211446,0.090506437211446,+
cat__consultante_localidad_del viso,-0.09048737401317915,0.09048737401317915,-
cat__localidad_Pontevedra,-0.08975143031736774,0.08975143031736774,-
cat__consultante_localidad_donadeu,-0.0887362348613435,0.0887362348613435,-
cat__localidad_El Palomar,-0.08865858047535617,0.08865858047535617,-
cat__consultante_como_conocio_la_linea_Carteles via publica,0.08838129511063766,0.08838129511063766,+
cat__consultante_nacionalidad_venezolana,0.08828180785182954,0.08828180785182954,+
cat__localidad_Sierra de La Ventana,-0.08814784286078717,0.08814784286078717,-
cat__dependencia_alta_Correo Institucional,0.08788753833568927,0.08788753833568927,+
cat__consultante_localidad_carmen de patagones,0.08707318952151304,0.08707318952151304,+
cat__localidad_Carmen de Patagones,0.08707318952151304,0.08707318952151304,+
cat__consultante_localidad_san justo,0.08693526606168536,0.08693526606168536,+
cat__consultante_localidad_lans,0.08689082865684436,0.08689082865684436,+
cat__consultante_localidad_pergamino,0.08665960798946666,0.08665960798946666,+
cat__localidad_Chimba,0.08585597925758318,0.08585597925758318,+
cat__localidad_Alta Gracia,-0.08453530127772985,0.08453530127772985,-
cat__localidad_Lavalle,-0.08446666029007487,0.08446666029007487,-
cat__consultante_provincia_formosa,-0.08420448499358935,0.08420448499358935,-
cat__provincia_Chubut,0.08407643760383945,0.08407643760383945,+
cat__consultante_localidad_las colonias,0.08406210129377766,0.08406210129377766,+
cat__localidad_Las Colonias,0.08406210129377766,0.08406210129377766,+
cat__localidad_Godoy Cruz,-0.08397348133703415,0.08397348133703415,-
cat__localidad_Remedios de Escalada,-0.08383880335724159,0.08383880335724159,-
cat__localidad_San Francisco,-0.08372049575978917,0.08372049575978917,-
cat__provincia_Santa Cruz,0.08355608714474407,0.08355608714474407,+
cat__consultante_localidad_ingeniero budge,0.08346915132053583,0.08346915132053583,+
cat__localidad_Ingeniero Budge,0.08346915132053583,0.08346915132053583,+
cat__localidad_Termas de Río Hondo,-0.0834137514905162,0.0834137514905162,-
cat__localidad_Garupa,-0.08310351821969034,0.08310351821969034,-
cat__localidad_lavalle,-0.08274024647536442,0.08274024647536442,-
cat__consultante_localidad_lavalle,-0.08274024647536442,0.08274024647536442,-
cat__localidad_Mocoretá,-0.08272332534137909,0.08272332534137909,-
cat__consultante_como_conocio_la_linea_Por publicidad en Internet,0.08200433814226327,0.08200433814226327,+
